problem_id,predicted_objective_value,actual_objective_value,solution_fitness,ga_solve_time,pulp_solve_time,time_difference,ga_faster,speedup_factor
521,-24,-24.0,-24.0,0.02591705322265625,0.01291203498840332,-0.01300501823425293,False,0.4982061377686194
737,-70,-70.0,-70.0,0.02479386329650879,0.011149883270263672,-0.013643980026245117,False,0.44970334541748
740,-10,-10.0,-10.0,0.025033950805664062,0.012148857116699219,-0.012885093688964844,False,0.4852952380952381
660,-25,-25.0,-25.0,0.023847103118896484,0.013224124908447266,-0.010622978210449219,False,0.5545380016396393
411,-80,-80.0,-80.0,0.025728940963745117,0.011169195175170898,-0.014559745788574219,False,0.43411017930778856
678,-94,-96.0,-94.0,0.02774500846862793,0.013775825500488281,-0.013969182968139648,False,0.4965154548813708
626,-30,-30.0,-30.0,0.024595975875854492,0.013020753860473633,-0.01157522201538086,False,0.5293855355117629
513,-120,-120.0,-120.0,0.02460503578186035,0.012918949127197266,-0.011686086654663086,False,0.5250530518115134
859,-40,-44.0,-40.0,0.023638010025024414,0.012417793273925781,-0.011220216751098633,False,0.5253315850521962
136,-32,-35.0,-32.0,0.02591085433959961,0.012436151504516602,-0.013474702835083008,False,0.4799591453652073
811,-190,-190.0,-190.0,0.026362895965576172,0.013195991516113281,-0.01316690444946289,False,0.5005516667571038
76,-70,-70.0,-70.0,0.02431011199951172,0.011060953140258789,-0.01324915885925293,False,0.4549939194225413
636,-88,-93.0,-88.0,0.02353215217590332,0.01176905632019043,-0.01176309585571289,False,0.5001266451201102
973,-162,-162.0,-162.0,0.025261878967285156,0.012493133544921875,-0.012768745422363281,False,0.49454490543244367
938,-41,-47.0,-41.0,0.02669692039489746,0.01376485824584961,-0.012932062149047852,False,0.5155972315248939
899,-24,-28.0,-24.0,0.02761697769165039,0.012827873229980469,-0.014789104461669922,False,0.4644922906918521
280,-120,-120.0,-120.0,0.024805784225463867,0.011793136596679688,-0.01301264762878418,False,0.47541881721980334
883,0,0.0,0.0,0.025043010711669922,0.011482000350952148,-0.013561010360717773,False,0.4584912127039738
761,-164,-164.0,-164.0,0.026968955993652344,0.013208150863647461,-0.013760805130004883,False,0.4897538809717458
319,-120,-120.0,-120.0,0.023964881896972656,0.012567996978759766,-0.01139688491821289,False,0.5244339209678062
549,-10,-10.0,-10.0,0.02538013458251953,0.012340068817138672,-0.01304006576538086,False,0.48620974711607107
174,-120,-120.0,-120.0,0.026330232620239258,0.01282191276550293,-0.013508319854736328,False,0.48696541919827596
371,-5,-5.0,-5.0,0.02632904052734375,0.0119171142578125,-0.01441192626953125,False,0.4526224282816575
527,-10,-11.0,-10.0,0.028011083602905273,0.013966798782348633,-0.01404428482055664,False,0.4986168682492531
210,-182,-188.0,-182.0,0.02816915512084961,0.014800786972045898,-0.013368368148803711,False,0.5254253068133728
235,-34,-40.0,-34.0,0.027492046356201172,0.013555049896240234,-0.013936996459960938,False,0.49305350793513136
101,0,0.0,0.0,0.026318073272705078,0.013238906860351562,-0.013079166412353516,False,0.5030348051383328
986,0,0.0,0.0,0.024255037307739258,0.011103153228759766,-0.013151884078979492,False,0.45776689962942213
902,0,0.0,0.0,0.02542591094970703,0.012269973754882812,-0.013155937194824219,False,0.4825775477288924
947,-38,-42.0,-38.0,0.024238109588623047,0.011644840240478516,-0.012593269348144531,False,0.480435167515886
346,-110,-110.0,-110.0,0.0282590389251709,0.01250600814819336,-0.01575303077697754,False,0.4425489550904013
139,-8,-16.0,-8.0,0.028414011001586914,0.013568878173828125,-0.014845132827758789,False,0.4775418075635399
621,-50,-50.0,-50.0,0.02484297752380371,0.011508941650390625,-0.013334035873413086,False,0.46326740179848175
499,-81,-86.0,-81.0,0.026545286178588867,0.014531135559082031,-0.012014150619506836,False,0.5474092636003557
370,-200,-200.0,-200.0,0.02721095085144043,0.012027978897094727,-0.015182971954345703,False,0.44202714424652373
198,-48,-48.0,-48.0,0.025772809982299805,0.013365983963012695,-0.01240682601928711,False,0.5186079427191741
687,0,0.0,0.0,0.023101091384887695,0.011118650436401367,-0.011982440948486328,False,0.4813041189766031
584,0,0.0,0.0,0.026388883590698242,0.011242866516113281,-0.015146017074584961,False,0.42604555351770373
901,0,0.0,0.0,0.025831222534179688,0.01324319839477539,-0.012588024139404297,False,0.5126818282507568
59,0,0.0,0.0,0.027263879776000977,0.011225223541259766,-0.01603865623474121,False,0.41172509684923003
328,0,0.0,0.0,0.02275395393371582,0.012819051742553711,-0.00993490219116211,False,0.5633768873707262
96,-15,-16.0,-15.0,0.0247039794921875,0.014062881469726562,-0.010641098022460938,False,0.5692557134033354
312,0,0.0,0.0,0.0243227481842041,0.011708259582519531,-0.01261448860168457,False,0.48137075193350126
974,-12,-12.0,-12.0,0.025654077529907227,0.0143890380859375,-0.011265039443969727,False,0.5608869806042694
299,0,0.0,0.0,0.02551102638244629,0.01159214973449707,-0.013918876647949219,False,0.4543976224521266
277,-6,-8.0,-6.0,0.024731874465942383,0.014123201370239258,-0.010608673095703125,False,0.5710526062101742
924,-24,-24.0,-24.0,0.026463985443115234,0.012170076370239258,-0.014293909072875977,False,0.4598731508675832
601,-46,-50.0,-46.0,0.029032230377197266,0.011775016784667969,-0.017257213592529297,False,0.4055842982672251
439,-64,-64.0,-64.0,0.027394771575927734,0.013545036315917969,-0.013849735260009766,False,0.49443873909940644
837,-50,-50.0,-50.0,0.024697065353393555,0.012790918350219727,-0.011906147003173828,False,0.5179124793651713
570,-100,-100.0,-100.0,0.02528214454650879,0.015093803405761719,-0.01018834114074707,False,0.5970143623692723
